unified_raw_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000,0,450,,,,,,,,,,,,,,,,,,,,,,,,,,
noise_data_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shortciurt_threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,150,150,150,100,100,30,,,,,,,,,,,,,,,,,,,,,,
specail_raw_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4800,5015,5046,5053,5059,5082,5092,5109,5192,5220,5240,5273,5294,5383,4492,4576,4645,4707,4779,4862,5054,5259,5292,5370,5510,5637,5799,5984,6000
4876,4764,4754,4762,4772,4796,4797,4822,4908,4927,4943,4978,5000,5040,4544,4626,4700,4765,4834,4924,5112,5213,5321,5512,5684,5715,5875,6066,6237
4968,4657,4648,4656,4668,4692,4698,4729,4807,4828,4843,4876,4905,4936,4552,4635,4711,4777,4849,4938,5127,5228,5337,5455,5599,5729,5896,6191,6350
4982,4606,4598,4606,4617,4642,4652,4783,4801,4780,4799,4837,4858,4897,4591,4679,4757,4823,4896,4985,5175,5278,5386,5503,5649,5783,5950,6138,6307
4943,4507,4500,4510,4522,4561,4668,4604,4660,4688,4710,4746,4768,4808,4588,4672,4750,4815,4888,4973,5158,5259,5367,5482,5638,5759,5925,6110,6280
4661,4450,4449,4459,4504,4599,4511,4538,4615,4645,4665,4707,4731,4772,4629,4711,4788,4853,4926,5012,5198,5294,5405,5530,5664,5798,5964,6146,6316
9999,4479,4500,4564,4600,4545,4550,4580,4654,4681,4700,4735,4758,4796,4712,4803,4874,4934,5003,5089,5274,5363,5474,5575,5711,5838,6000,6178,6342
9999,4577,4534,4511,4525,4552,4558,4592,4668,4689,4718,4758,4784,4823,4823,4918,4988,5065,5131,5221,5429,5514,5616,5732,5873,6003,6172,6361,6538
4714,4341,4349,4361,4378,4407,4418,4452,4534,4561,4595,4639,4671,4716,4819,4899,4973,5050,5119,5227,5410,5513,5618,5736,5880,6012,6181,6372,6550
5009,4303,4317,4329,4348,4376,4390,4423,4502,4533,4568,4614,4645,4691,4877,4957,5031,5107,5188,5263,5466,5567,5670,5783,5930,6058,6222,6408,6583
5024,4275,4291,4307,4325,4355,4368,4403,4483,4514,4550,4598,4631,4677,4946,5024,5101,5192,5240,5329,5530,5636,5737,5850,5994,6118,6285,6473,6643
5026,4239,4259,4275,4293,4325,4336,4368,4449,4483,4522,4572,4604,4653,5026,5097,5185,5246,5305,5391,5589,5694,5795,5907,6049,6174,6334,6519,6686
4936,4228,4255,4271,4287,4321,4333,4365,4448,4483,4522,4571,4603,4654,5139,5209,5277,5351,5413,5495,5692,5792,5891,6000,6139,6264,6420,6600,6764
4500,4180,4237,4252,4268,4298,4309,4344,4418,4452,4490,4536,4567,4614,5390,5478,5529,5601,5657,5738,5937,6026,6116,6222,6355,6471,6629,6795,6700
specail_raw_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,2414,2429,2432,2436,2447,2451,2460,2499,2513,2523,2538,2549,2592,2163,2203,2236,2266,2300,2341,2433,2532,2547,2585,2653,2714,2792,2881,2000
2347,2293,2289,2293,2297,2309,2310,2321,2363,2372,2380,2397,2407,2427,2187,2227,2263,2294,2327,2371,2461,2510,2562,2653,2737,2752,2828,2921,3002
2391,2242,2237,2241,2247,2259,2261,2276,2314,2325,2332,2347,2362,2377,2191,2232,2268,2300,2334,2377,2468,2517,2570,2626,2696,2758,2839,2980,3057
2399,2217,2213,2217,2222,2235,2239,2302,2312,2301,2310,2328,2339,2358,2210,2252,2290,2322,2357,2400,2492,2541,2593,2650,2720,2784,2865,2955,3036
2380,2170,2167,2171,2177,2196,2247,2217,2243,2257,2267,2285,2295,2315,2209,2249,2287,2318,2353,2394,2483,2532,2584,2639,2715,2772,2852,2941,3023
2244,2143,2142,2146,2169,2214,2172,2185,2222,2236,2246,2266,2278,2297,2228,2268,2305,2336,2371,2413,2503,2549,2602,2663,2727,2791,2871,2959,3041
0,2156,2167,2197,2215,2188,2191,2205,2241,2254,2263,2280,2291,2309,2269,2312,2347,2375,2408,2450,2539,2582,2635,2684,2750,2811,2889,2975,3053
0,2204,2183,2172,2178,2191,2195,2211,2247,2258,2271,2291,2303,2322,2322,2367,2401,2438,2470,2514,2614,2655,2703,2759,2828,2890,2971,3062,3147
2269,2090,2094,2100,2107,2122,2127,2143,2183,2196,2212,2234,2248,2271,2320,2358,2394,2431,2464,2516,2605,2654,2705,2761,2831,2895,2976,3067,3153
2412,2072,2078,2084,2093,2107,2113,2130,2167,2182,2199,2221,2236,2258,2348,2386,2422,2458,2497,2534,2631,2680,2729,2784,2855,2917,2995,3085,3170
2419,2058,2066,2074,2082,2096,2103,2120,2158,2173,2191,2213,2230,2252,2381,2419,2456,2499,2523,2566,2663,2713,2762,2817,2885,2945,3026,3116,3198
2419,2040,2050,2058,2066,2082,2087,2103,2142,2158,2177,2201,2217,2240,2419,2454,2496,2525,2554,2596,2690,2741,2790,2844,2912,2973,3049,3138,3219
2377,2035,2048,2056,2064,2080,2086,2102,2141,2158,2177,2200,2216,2241,2474,2508,2540,2576,2606,2646,2741,2789,2836,2889,2956,3015,3091,3177,3257
1200,2013,2040,2047,2055,2069,2074,2091,2127,2143,2161,2183,2198,2221,2595,2637,2662,2696,2724,2763,2858,2901,2945,2995,3060,3116,3192,3272,2500
special_raw_delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1000,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,450,800
1000,450,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,450
450,450,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
450,450,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
450,450,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
1500,450,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
9999,1500,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
9999,1500,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
1500,450,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
450,450,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
450,450,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
450,450,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
1000,450,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,450
1500,800,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,450,800
